"","day","mod_gpp_sim","mod_gpp_unc95_sim","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"141",6447,7.71368103504152,7.77514405079691,259,2017,8.048573038,1.464973329,NA,-9999,-3.942169162,0.58,2017-08-25
"142",6454,7.46800120151425,7.54602553540448,266,2017,7.084924979,1.175281257,5.03,2.16,-3.994428254,0.59390992,2017-09-01
"143",6461,4.14271092205671,4.19369039940793,273,2017,5.430123153,1.514432998,5.18,1.05,-2.233521216,0.722063927,2017-09-08
"144",6468,3.39643805434209,3.44996584762805,280,2017,3.111499175,1.189457529,3.53,1.21,-0.325353139,0.583063133,2017-09-15
"145",6475,2.89629318914783,2.95652935284798,287,2017,1.146781105,1.495869337,NA,-9999,-0.127321095,0.58,2017-09-22
"146",6482,3.06929130159319,3.17199202014911,294,2017,NA,2.116306013,1.3,0.28,0.646548109,0.59634885,2017-09-29
"147",6489,1.08781073169302,1.14015971517882,301,2017,NA,2.116306013,0.91,0.25,1.957436102,0.58,2017-10-06
"148",6496,0.962495855273019,1.02688095009444,308,2017,0.767284196,1.514643806,0.3,0.25,2.095386864,0.606545395,2017-10-13
"149",6503,0.225209308716356,0.246587659800913,315,2017,0.478949861,1.43304632,0.89,0.25,1.461126359,0.58565463,2017-10-20
"150",6510,0.230903842687329,0.25810141776179,322,2017,0.674634143,1.341930448,0.3,0.25,1.007345388,0.59634885,2017-10-27
"151",6517,0.110268728784445,0.125624999771021,329,2017,0.418513936,1.404930523,NA,-9999,0.699492405,0.58,2017-11-03
"152",6524,0.061541027065892,0.0740595632308597,336,2017,NA,2.116306013,NA,-9999,0.676223554,0.58,2017-11-10
"153",6531,0.056229677953605,0.0676155417863018,343,2017,0.245329477,1.433533961,NA,-9999,0.115234212,0.59634885,2017-11-17
"154",6538,0.0331715153469681,0.0401905570494115,350,2017,NA,2.116306013,NA,-9999,0.0079732,0.58565463,2017-11-24
"155",6545,0.0197402722070829,0.0242623801392065,357,2017,0.198508595,1.408395326,NA,-9999,0.033889613,0.58,2017-12-01
"156",6552,0.0129665198134027,0.0162266731348238,365,2017,0.663581145,1.530788031,NA,-9999,-0.32488834,0.58,2017-12-08
"157",6559,0.00797967374755898,0.0100303138115662,7,2018,1.668311287,1.173212514,NA,-9999,-0.715330188,0.628982257,2017-12-15
