"","date","year","doy","mod_gpp","mod_lai","mod_reco","sm1","sm2","sm3","minT","maxT","airT","co2","swr","vpd","precip","windspd"
"93","2004-08-20",2004,238,9.79783707332486,4.13445066331131,4.63744284441991,22.3256577380952,17.4099702380952,35.8983333333333,12.2342857142857,18.4714285714286,15.1104166666667,372.803452380952,13.7470672285714,0.411845535714286,4.16666666666667e-05,3.16063095238095
"94","2004-08-27",2004,245,7.81569902395198,3.90786702375838,4.07610086072978,30.0032232142857,23.8464880952381,34.2700595238095,10.4814285714286,16.0842857142857,13.130625,374.622639880952,10.8009473142857,0.201948511904762,5.02645502645503e-05,3.29821130952381
"95","2004-09-03",2004,252,11.2159960721508,3.60551483235223,5.15491773301022,24.193619047619,16.9686904761905,33.6836607142857,14.08,21.9271428571429,17.7909821428571,371.164107142857,19.3404111428571,0.81461994047619,0,2.15564583333333
"96","2005-05-06",2005,133,6.80675397346369,1.86778151947463,3.39951999266915,42.1305386904762,39.0176785714286,45.9702083333333,2.18428571428571,9.45428571428571,5.50008928571429,379.874479166667,18.5868648,0.207388392857143,3.27380952380952e-05,3.14010416666667
"97","2005-05-13",2005,140,7.78346385431175,2.45127569626845,3.77905496726869,42.329943452381,40.5139583333333,46.1687797619048,5.41285714285714,12.2928571428571,8.70199404761905,376.941202380952,15.8625141428571,0.343,5.72089947089947e-05,2.43652976190476
"98","2005-05-20",2005,147,9.8176279937264,2.9061887733715,4.69061290919585,42.5026577380952,39.9670535714286,46.0324702380952,12.5128571428571,19.7842857142857,16.2406845238095,374.539488095238,20.2738546285714,0.708749702380952,2.89351851851852e-05,2.78912202380952
"99","2005-05-27",2005,154,11.4792592714907,3.25279316035797,4.99716078255869,40.8587380952381,38.4040773809524,45.7554464285714,11.3271428571429,19.5214285714286,15.6016071428571,373.914672619048,22.2714853714286,0.734548511904762,2.16600529100529e-05,2.92990178571429
"100","2005-06-03",2005,161,10.6785296825905,3.55204210381137,4.47699369120373,41.496130952381,41.414375,45.1921130952381,7.16428571428571,13.11,10.2205357142857,374.302610119048,16.9812133714286,0.306184226190476,2.33134920634921e-05,3.25552678571429
"101","2005-06-10",2005,168,12.0431529784665,3.81777767020013,4.99996532690123,38.7767232142857,34.6591666666667,44.4680059523809,10.3685714285714,17.0428571428571,13.8446726190476,371.215625,18.4153188857143,0.556342857142857,1.65343915343915e-06,2.61446130952381
"102","2005-06-17",2005,175,13.6647291007472,4.06401580854212,5.76727127502847,31.3736071428571,24.5178273809524,42.6496130952381,15.2571428571429,23.6142857142857,19.5733333333333,367.252761904762,27.4322944285714,0.982794345238095,0,2.13463392857143
"103","2005-06-24",2005,182,12.238526224179,4.3038723244993,5.28028528965236,35.5122857142857,31.2394047619048,43.5255357142857,13.7814285714286,20.3814285714286,17.0314583333333,373.770148809524,16.9556207142857,0.505669940476191,9.19312169312169e-05,2.19502678571429
"104","2005-07-01",2005,189,12.6323239983191,4.49544835158278,5.2188288850473,38.1630803571429,32.9250892857143,44.5666071428571,11.4771428571429,18.5128571428571,14.8864880952381,373.997178571429,17.2141498285714,0.417599107142857,2.19907407407407e-05,2.51230654761905
"105","2005-07-08",2005,196,14.2699473915448,4.63951242085053,5.95039754101585,34.8480625,28.0117261904762,42.1108630952381,15.8742857142857,24.0528571428571,20.0102380952381,363.232113095238,24.3291929142857,1.01790863095238,1.38888888888889e-05,2.41138095238095
"106","2005-07-15",2005,203,13.0161969045468,4.75324947294386,5.34463455514935,31.0791071428571,25.4703273809524,39.4398214285714,11.95,18.9714285714286,15.4215178571429,370.472630952381,17.5058614285714,0.51875,4.71230158730159e-05,3.52969345238095
"107","2005-07-22",2005,210,12.9216370301188,4.80290333484071,5.50433749413179,32.4915297619048,28.1479166666667,38.0405952380952,13.6571428571429,22.0914285714286,17.7877083333333,374.312348214286,17.3552302285714,0.550038095238095,5.19179894179894e-05,2.69102976190476
"108","2005-07-29",2005,217,12.2288089782403,4.8050226231343,5.16766807217604,32.2709077380952,26.7531547619048,36.7180357142857,11.6271428571429,18.7571428571429,15.1346726190476,370.873276785714,16.2766977428571,0.455898214285714,1.62037037037037e-05,2.92703869047619
"109","2005-08-05",2005,224,10.7255998281822,4.74546638403766,4.63719050240132,36.1345089285714,33.85875,35.2666369047619,9.20285714285714,15.0371428571429,11.6282142857143,370.388125,14.1674405142857,0.209855357142857,3.60449735449735e-05,3.34289285714286
