"","week","AverageWeeklyMeanT","year","WeeklyMeanT","tempAnomaly","Drought_Status"
"661",21,12.9821517857143,"2019",12.8325714285714,-0.149580357142858,"2019"
"662",21,12.9821517857143,"1994",12.0165714285714,-0.965580357142859,"1989-2020"
"663",21,12.9821517857143,"2007",18.162,5.17984821428571,"1989-2020"
"664",21,12.9821517857143,"1992",16.7115714285714,3.72941964285714,"1989-2020"
"665",21,12.9821517857143,"2016",13.6488571428571,0.666705357142856,"1989-2020"
"666",21,12.9821517857143,"2006",10.9877142857143,-1.9944375,"1989-2020"
"667",21,12.9821517857143,"1995",12.424,-0.558151785714287,"1989-2020"
"668",21,12.9821517857143,"2012",17.5811428571429,4.59899107142857,"1989-2020"
"669",21,12.9821517857143,"1993",13.8228571428571,0.840705357142856,"1989-2020"
"670",21,12.9821517857143,"2009",15.1718571428571,2.18970535714286,"1989-2020"
"671",21,12.9821517857143,"2008",12.4571428571429,-0.525008928571429,"1989-2020"
"672",22,13.59275,"2017",18.306,4.71325,"1989-2020"
"673",22,13.59275,"2014",11.1184285714286,-2.47432142857143,"1989-2020"
"674",22,13.59275,"2015",12.5522857142857,-1.04046428571429,"1989-2020"
"675",22,13.59275,"2001",12.61,-0.982749999999999,"1989-2020"
"676",22,13.59275,"1991",11.4832857142857,-2.10946428571429,"1989-2020"
"677",22,13.59275,"2012",13.7911428571429,0.198392857142856,"1989-2020"
"678",22,13.59275,"2010",11.8265714285714,-1.76617857142857,"2010"
"679",22,13.59275,"2004",11.6634285714286,-1.92932142857143,"1989-2020"
"680",22,13.59275,"2005",14.9452857142857,1.35253571428571,"1989-2020"
"681",22,13.59275,"2003",18.1922857142857,4.59953571428571,"2003"
"682",22,13.59275,"2020",13.591,-0.00175000000000125,"1989-2020"
"683",22,13.59275,"2016",15.4457142857143,1.85296428571428,"1989-2020"
"684",22,13.59275,"2002",12.4832857142857,-1.10946428571429,"1989-2020"
"685",22,13.59275,"2000",11.7794285714286,-1.81332142857143,"1989-2020"
"686",22,13.59275,"1992",16.1702857142857,2.57753571428571,"1989-2020"
"687",22,13.59275,"2007",12.6052857142857,-0.987464285714287,"1989-2020"
"688",22,13.59275,"2011",14.9548571428571,1.36210714285714,"1989-2020"
"689",22,13.59275,"1998",15.0174285714286,1.42467857142857,"1989-2020"
"690",22,13.59275,"2013",10.6288571428571,-2.96389285714286,"1989-2020"
"691",22,13.59275,"1993",13.5078571428571,-0.084892857142858,"1989-2020"
"692",22,13.59275,"1996",13.0358571428571,-0.556892857142858,"1989-2020"
"693",22,13.59275,"2006",8.32128571428571,-5.27146428571429,"1989-2020"
"694",22,13.59275,"2018",19.3402857142857,5.74753571428571,"2018"
"695",22,13.59275,"1997",10.2162857142857,-3.37646428571429,"1989-2020"
"696",22,13.59275,"2008",18.5857142857143,4.99296428571428,"1989-2020"
"697",22,13.59275,"1989",11.7087142857143,-1.88403571428571,"1989-2020"
"698",22,13.59275,"1999",16.8467142857143,3.25396428571428,"1989-2020"
"699",22,13.59275,"1995",12.2821428571429,-1.31060714285714,"1989-2020"
"700",22,13.59275,"2009",12.6482857142857,-0.944464285714286,"1989-2020"
"701",22,13.59275,"1994",11.6902857142857,-1.90246428571429,"1989-2020"
"702",22,13.59275,"2019",15.5844285714286,1.99167857142857,"2019"
"703",22,13.59275,"1990",12.0352857142857,-1.55746428571429,"1989-2020"
"704",23,14.6589910714286,"1991",10.3965714285714,-4.26241964285714,"1989-2020"
"705",23,14.6589910714286,"2001",10.6738571428571,-3.98513392857143,"1989-2020"
"706",23,14.6589910714286,"2012",11.7468571428571,-2.91213392857143,"1989-2020"
"707",23,14.6589910714286,"2013",14.3514285714286,-0.307562500000001,"1989-2020"
"708",23,14.6589910714286,"2004",15.4572857142857,0.798294642857142,"1989-2020"
"709",23,14.6589910714286,"2007",18.6891428571429,4.03015178571429,"1989-2020"
"710",23,14.6589910714286,"2014",18.5038571428571,3.84486607142857,"1989-2020"
"711",23,14.6589910714286,"1989",10.0472857142857,-4.61170535714286,"1989-2020"
"712",23,14.6589910714286,"1990",11.0528571428571,-3.60613392857143,"1989-2020"
"713",23,14.6589910714286,"2005",10.7537142857143,-3.90527678571429,"1989-2020"
