"","year","week","full_date","weeklysm","sd","smAverage","smAnomaly"
"421",2000,21,2000-05-26,46.2145238095238,1.81559074816417,45.1153500566893,1.09917375283446
"422",2018,21,2018-05-27,41.7180059523809,1.81559074816417,45.1153500566893,-3.39734410430844
"423",2017,21,2017-05-27,45.1719642857143,1.81559074816417,45.1153500566893,0.0566142290249658
"424",2010,21,2010-05-27,46.9279464285714,1.81559074816417,45.1153500566893,1.81259637188207
"425",2013,21,2013-05-27,47.616994047619,1.81559074816417,45.1153500566893,2.50164399092967
"426",2012,21,2012-05-26,45.4325595238095,1.81559074816417,45.1153500566893,0.317209467120165
"427",2005,21,2005-05-27,46.0324702380952,1.81559074816417,45.1153500566893,0.917120181405863
"428",2020,21,2020-05-26,39.7158928571429,1.81559074816417,45.1153500566893,-5.39945719954644
"429",2004,21,2004-05-26,45.5015476190476,1.81559074816417,45.1153500566893,0.386197562358262
"430",2006,21,2006-05-27,45.9732738095238,1.81559074816417,45.1153500566893,0.857923752834466
"431",2011,21,2011-05-27,42.5970535714286,1.81559074816417,45.1153500566893,-2.51829648526073
"432",2009,22,2009-06-03,45.0727380952381,2.65631043648455,44.641066468254,0.431671626984141
"433",2016,22,2016-06-02,45.8491369047619,2.65631043648455,44.641066468254,1.20807043650794
"434",2007,22,2007-06-03,47.0497023809524,2.65631043648455,44.641066468254,2.40863591269844
"435",2002,22,2002-06-03,46.1191369047619,2.65631043648455,44.641066468254,1.47807043650794
"436",2003,22,2003-06-03,44.5495238095238,2.65631043648455,44.641066468254,-0.0915426587301624
"437",2014,22,2014-06-03,47.033630952381,2.65631043648455,44.641066468254,2.39256448412704
"438",2017,22,2017-06-03,43.6125595238095,2.65631043648455,44.641066468254,-1.02850694444446
"439",2000,22,2000-06-02,46.2293452380952,2.65631043648455,44.641066468254,1.58827876984124
"440",2001,22,2001-06-03,45.5556845238095,2.65631043648455,44.641066468254,0.914618055555536
"441",2005,22,2005-06-03,45.7554464285714,2.65631043648455,44.641066468254,1.11437996031744
"442",2015,22,2015-06-03,43.6724702380952,2.65631043648455,44.641066468254,-0.968596230158759
"443",2010,22,2010-06-03,46.9098214285714,2.65631043648455,44.641066468254,2.26875496031744
"444",2012,22,2012-06-02,44.2009821428571,2.65631043648455,44.641066468254,-0.44008432539686
"445",2006,22,2006-06-03,46.2137202380952,2.65631043648455,44.641066468254,1.57265376984124
"446",2020,22,2020-06-02,37.1700744047619,2.65631043648455,44.641066468254,-7.47099206349206
"447",2008,22,2008-06-02,44.2671428571429,2.65631043648455,44.641066468254,-0.37392361111106
"448",2004,22,2004-06-02,45.1191666666667,2.65631043648455,44.641066468254,0.47810019841274
"449",2013,22,2013-06-03,48.7284226190476,2.65631043648455,44.641066468254,4.08735615079364
"450",2018,22,2018-06-03,39.5994345238095,2.65631043648455,44.641066468254,-5.04163194444446
"451",2011,22,2011-06-03,41.1972321428571,2.65631043648455,44.641066468254,-3.44383432539686
"452",2019,22,2019-06-03,43.5570238095238,2.65631043648455,44.641066468254,-1.08404265873016
"453",2003,23,2003-06-10,42.3244345238095,3.07000767280539,43.7793462301587,-1.45491170634924
"454",2001,23,2001-06-10,46.1425297619048,3.07000767280539,43.7793462301587,2.36318353174606
"455",2002,23,2002-06-10,45.7879761904762,3.07000767280539,43.7793462301587,2.00862996031746
"456",2009,23,2009-06-10,44.1864880952381,3.07000767280539,43.7793462301587,0.40714186507936
"457",2007,23,2007-06-10,45.4369642857143,3.07000767280539,43.7793462301587,1.65761805555557
"458",2019,23,2019-06-10,40.493005952381,3.07000767280539,43.7793462301587,-3.28634027777774
"459",2000,23,2000-06-09,46.6693363095238,3.07000767280539,43.7793462301587,2.88999007936506
"460",2015,23,2015-06-10,42.4154464285714,3.07000767280539,43.7793462301587,-1.36389980158734
"461",2016,23,2016-06-09,45.7372619047619,3.07000767280539,43.7793462301587,1.95791567460316
"462",2010,23,2010-06-10,46.2036904761905,3.07000767280539,43.7793462301587,2.42434424603177
"463",2012,23,2012-06-09,44.0105476190476,3.07000767280539,43.7793462301587,0.231201388888863
"464",2018,23,2018-06-10,37.3236904761905,3.07000767280539,43.7793462301587,-6.45565575396824
"465",2014,23,2014-06-10,45.6539285714286,3.07000767280539,43.7793462301587,1.87458234126986
"466",2008,23,2008-06-09,42.5439285714286,3.07000767280539,43.7793462301587,-1.23541765873014
"467",2013,23,2013-06-10,47.51625,3.07000767280539,43.7793462301587,3.73690376984126
"468",2006,23,2006-06-10,45.5085416666667,3.07000767280539,43.7793462301587,1.72919543650796
"469",2017,23,2017-06-10,45.3484226190476,3.07000767280539,43.7793462301587,1.56907638888886
"470",2020,23,2020-06-09,35.7152261904762,3.07000767280539,43.7793462301587,-8.06412003968254
"471",2004,23,2004-06-09,44.4529761904762,3.07000767280539,43.7793462301587,0.673629960317463
"472",2005,23,2005-06-10,45.1921130952381,3.07000767280539,43.7793462301587,1.41276686507936
