"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"46",322,0.377811564150836,0.509572046437219,0.430693445737843,0.590002858632257,1.62357432224381,1.70547468624347,322,2000,0.182586393,1.486121999,NA,-9999,2.397826615,0.58565463,2000-11-17
"47",329,0.258543921062468,0.378253789702744,0.323517224775288,0.482301926800628,1.67392580012617,1.75470656654575,329,2000,0.145024333,1.535389703,NA,-9999,2.015276128,0.58565463,2000-11-24
"48",336,0.20077129418917,0.318923268152437,0.25329057474178,0.407552778713483,1.76153446604023,1.84026637858328,336,2000,0.175882959,1.577652636,NA,-9999,2.076863363,0.631976765,2000-12-01
"49",343,0.17219592792989,0.292046126992589,0.207055103034038,0.355992536291448,1.81906290297759,1.9008252625698,343,2000,0.179171649,1.483586108,NA,-9999,2.230884216,0.591255182,2000-12-08
"50",350,0.101507240180965,0.183058741662472,0.175279519378469,0.319713635956207,1.87867899833153,1.96291604226966,350,2000,0.167649857,1.428850361,NA,-9999,1.746346105,0.58,2000-12-15
"51",357,0.0680682908893089,0.128012588536009,0.153432218840531,0.294271436644497,1.50024503998365,1.58210853273807,357,2000,0.141473222,1.35892803,NA,-9999,2.367574823,0.607301113,2000-12-22
"52",364,0.088180481320751,0.174559765282348,0.138717149362644,0.276551643827898,1.54277787297585,1.61514474943916,366,2000,0.240407611,1.40820158,NA,-9999,1.829335817,0.591255182,2000-12-29
"53",371,0.0625343084692801,0.129156506664898,0.127539128238768,0.263800543125233,1.753435957325,1.83450476904732,7,2001,0.159480611,1.538339552,NA,-9999,0.779344709,0.591255182,2001-01-05
"54",378,0.0648266490821899,0.13858707262506,0.121517857610931,0.257027914410967,1.52202927302097,1.60024854802404,14,2001,0.194504616,1.337843229,NA,-9999,0.317478038,0.648928386,2001-01-12
"55",385,0.0877210391724866,0.188408547884607,0.117569629435034,0.252574755457327,1.44659521175734,1.52754531474929,21,2001,NA,2.116306013,NA,-9999,0.75279744,0.702757867,2001-01-19
"56",392,0.0941658492361559,0.203019481002636,0.115237486231891,0.250660725514831,1.69349603323669,1.7648862518612,28,2001,0.153006026,1.438934514,NA,-9999,0.982495891,0.665859391,2001-01-26
"57",399,0.0890630714876031,0.193225596344378,0.113914140673801,0.250043765442134,1.51233184175451,1.59273393516766,35,2001,0.09932997,1.492705453,NA,-9999,1.405068073,0.701313835,2001-02-02
"58",406,0.134111014654076,0.292926614964849,0.113194790460808,0.249941532160555,1.81358053168175,1.90685077384064,42,2001,0.184849585,1.45566319,NA,-9999,1.512092778,0.606545395,2001-02-09
"59",413,0.175969146451395,0.386618947096671,0.113399851141807,0.251346597275123,1.67850725322256,1.80674828290731,49,2001,0.205273386,1.596538139,NA,-9999,1.513606877,0.624799254,2001-02-16
"60",420,0.132232157433402,0.291529683704551,0.114408249017896,0.254235261542089,1.50149792630188,1.60350614116884,56,2001,0.22098401,1.391090414,NA,-9999,1.41079238,0.601849895,2001-02-23
"61",427,0.177874410475767,0.390412587857725,0.11541434853552,0.256496677765622,1.45565606336823,1.59719532482543,63,2001,0.221212241,1.597762332,NA,-9999,1.108884096,0.591255182,2001-03-02
"62",434,0.185764191935429,0.407384652172425,0.117629471271051,0.259926995602787,1.6491193521851,1.78905811157046,70,2001,0.364091345,1.29962148,NA,-9999,1.478689832,0.636616107,2001-03-09
"63",441,0.158674068595753,0.340944805203214,0.121661240929875,0.264001124299016,1.70336888829445,1.80961040207268,77,2001,0.382698216,1.33103136,NA,-9999,1.383441067,0.58565463,2001-03-16
"64",448,0.228159495995751,0.463870455400879,0.12988642755129,0.268991188593927,1.53564716902308,1.67919160688688,84,2001,0.212755943,1.536895817,NA,-9999,1.243333417,0.706175669,2001-03-23
"65",455,0.312547611944458,0.575921909082372,0.150707466862443,0.280098734593684,1.53811493685234,1.69634074062994,91,2001,0.051329697,1.514057034,NA,-9999,1.092660291,0.690704325,2001-03-30
"66",462,0.553772634958193,0.848919795621358,0.198810730788183,0.307365188875615,1.58123108899173,1.78139380528455,98,2001,1.12352037,1.273329564,NA,-9999,1.241122243,0.666009958,2001-04-06
"67",469,0.754903406486209,0.941089804059099,0.302145343137171,0.380734792975075,1.16696438255676,1.30206181585854,105,2001,0.969862661,1.594078182,NA,-9999,1.223448867,0.710482612,2001-04-13
"68",476,1.0599285011861,1.1451829816506,0.514988022225228,0.558974857715427,0.915208251374005,0.983161679074558,112,2001,1.200670254,1.39189119,NA,-9999,0.751424751,0.61731678,2001-04-20
"69",483,2.47947116024889,2.52362984373936,0.907839364470997,0.927599961200269,0.0532684574272493,0.171365285102342,119,2001,2.143211427,1.34169944,NA,-9999,1.574770497,0.678183432,2001-04-27
"70",490,4.74349889225483,4.80289414449524,1.52526663710674,1.5554482866837,-1.563605498055,-1.45014027787331,126,2001,3.050672295,1.573031932,NA,-9999,2.967659838,0.760808872,2001-05-04
"71",497,7.43756944181012,7.55956128016822,2.28408916294925,2.38077238222032,-3.67816600370732,-3.60289311871,133,2001,6.706205174,1.436597618,NA,-9999,-0.790411512,0.712279392,2001-05-11
"72",504,8.52785171299217,8.79069551623821,3.00176009737345,3.17273488484584,-4.50209590904604,-4.33114211779771,140,2001,8.504870287,1.562869783,NA,-9999,-2.6103298,0.678216905,2001-05-18
"73",511,10.5383313469414,10.5905522643327,3.54172481620571,3.75450418602514,-6.00459932661966,-5.88015546489147,147,2001,10.10550036,1.299191788,NA,-9999,-4.25253327,0.642905749,2001-05-25
"74",518,9.35761270417376,9.5767679222407,3.94154709154493,4.16428492253301,-5.19959532808093,-5.0547375929367,154,2001,9.780763676,1.253287312,NA,-9999,-5.154675356,0.601849895,2001-06-01
"75",525,8.6181922767314,8.85188302085279,4.26200835188514,4.48206014405808,-4.70057103780984,-4.55503078343569,161,2001,10.20075963,1.433863572,NA,-9999,-5.925107571,0.617620633,2001-06-08
"76",532,11.7253811148433,11.9078464521569,4.51486623287329,4.73760398762689,-6.97373565227807,-6.8213492126167,168,2001,13.43983279,1.356534493,NA,-9999,-8.281660568,0.673742466,2001-06-15
"77",539,10.6748491570292,10.8855019335398,4.75118519157379,4.97753893920265,-6.20293718557748,-6.03283210029636,175,2001,12.13202315,1.343307451,NA,-9999,-8.490149641,0.682648771,2001-06-22
"78",546,13.1602300095934,13.198963473794,4.9623650110424,5.1905127289961,-7.86668404569994,-7.73601442191233,182,2001,15.30185454,1.550049475,NA,-9999,-9.098918608,0.765548181,2001-06-29
