"","date","year","month","week","doy","gpp_z_scores","temp_z_scores","sm1_z_scores","sm2_z_scores","sm3_z_scores","vpd_z_scores","swr_z_scores"
"356","2015-11-04",2015,"Nov",44,308,1.99560862374307,1.27027858955489,-0.585147581973881,-0.375454808350717,0.397075842503092,2.98515108203758,1.66556617051112
"357","2015-11-11",2015,"Nov",45,315,1.51720731983434,2.5928001137169,-0.661754898649793,-0.517034449975665,0.281755962088161,2.71643865224477,0.968782648279885
"358","2015-11-18",2015,"Nov",46,322,0.895692262860638,1.55861798603371,-0.342600526338747,-0.242798037119413,0.467940541182063,1.47548013189234,-0.488698097851768
"359","2015-11-25",2015,"Nov",47,329,0.608722857099329,-0.786303442201051,-0.0259261789190407,0.0550900914541075,0.661434486112101,-0.408920540141933,-0.290614044867218
"360","2015-12-02",2015,"Dec",48,336,0.877712962254038,0.677594339817127,0.0722748011413144,0.189998656741475,0.702501560398064,0.1069528350754,-0.103891936882951
"361","2015-12-09",2015,"Dec",49,343,1.19445640572749,1.19975686574121,-0.300904572834216,0.000421277576747116,0.654133695672698,1.96045332116246,0.801387331865966
"362","2015-12-16",2015,"Dec",50,350,1.37928474279234,1.0428696994661,-0.405350733086957,0.0380652387240707,0.519957016832239,0.0256307638205083,0.898638879199005
"363","2015-12-23",2015,"Dec",51,357,0.425396530176055,1.98015940060147,-0.40665492498111,0.0131392755836988,0.563225127191398,1.13145251833483,-0.759811288078031
"364","2015-12-30",2015,"Dec",53,365,1.59232544536844,1.71696410894444,-0.779795635091318,-0.313031695796594,0.702438747989066,1.62434618942739,1.50828665880488
"365","2016-01-06",2016,"Jan",1,7,0.498524191109246,-0.666657526177346,-0.426959880165253,-0.268358420825959,0.862293438596885,-1.76775862896126,-0.822557691440058
"366","2016-01-13",2016,"Jan",2,14,1.65811303727774,0.347697112578803,-0.238012487305176,-0.065172395093834,1.03013846696742,-0.0358868228632643,0.613372296400597
"367","2016-01-20",2016,"Jan",3,21,0.862061032991034,-1.23476621153682,-0.516613403311149,-0.271503461911188,0.920775146591604,-0.524543474472836,1.04112340652624
"368","2016-01-27",2016,"Jan",4,28,1.32790542441031,1.25566306785223,-0.389188225690118,-0.155670911844453,0.85729672067064,1.7026044637822,0.687747315476655
"369","2016-02-03",2016,"Feb",5,35,0.719858730168761,0.79408442055215,-0.089855335270965,0.154540652528207,1.44199152387761,0.251551318758221,-0.846004481188734
"370","2016-02-10",2016,"Feb",6,42,1.24742731461866,0.753044622621467,0.0436628464026957,0.167697456314691,1.4365484190656,0.609880644487628,-0.318229684466349
"371","2016-02-17",2016,"Feb",7,49,0.519087156550871,-0.298894676189935,0.00741519157678678,0.154721762934496,1.24806347217501,-0.424093370548237,-0.892026620869396
"372","2016-02-24",2016,"Feb",8,56,0.98629404345865,0.447400129558303,0.177036061585679,0.377795607471002,1.43760389419028,-0.589949142820481,-0.67390714621668
"373","2016-03-02",2016,"Mar",9,63,1.16197038362342,-0.417240259866518,-0.062484683920955,0.253224017333042,0.630511170520444,-0.3214791312071,0.329594666261306
"374","2016-03-09",2016,"Mar",10,70,1.17489815724629,-0.519234077090261,-0.148568401466683,0.264832111952518,0.977908447110168,-0.604731747724535,-0.253166146893532
"375","2016-03-16",2016,"Mar",11,77,0.951170488854577,-0.856147886897024,-0.41602079216948,0.0305474920652167,1.12417380123461,-0.929776204936419,-0.746931810185528
"376","2016-03-23",2016,"Mar",12,84,0.684054956121882,-0.358069360267147,-0.420626169793528,-0.106279900158522,0.66989633271933,-0.595316982765313,-0.886315807405922
"377","2016-03-30",2016,"Mar",13,91,0.525481217255973,-0.36407977543104,-0.0766004488453312,0.140049820475994,0.828310328664414,-0.751870358666463,-1.34439011910158
"378","2016-04-06",2016,"Apr",14,98,1.1475983230891,0.674844677138161,0.264069439210608,0.392441285611349,1.40605016442316,0.519263315791913,0.307799567978343
"379","2016-04-13",2016,"Apr",15,105,1.02911836147106,0.16852225949146,0.0308169227039626,0.218486287829524,0.971760719231058,0.0747529230613969,0.327835190390121
"380","2016-04-20",2016,"Apr",16,112,0.430114910480202,-0.426488556994031,0.294562134981781,0.356350354943592,1.30045826441444,-0.410819252459714,-0.533822530922928
"381","2016-04-27",2016,"Apr",17,119,-0.6592816160328,-2.56093375035156,0.242495784487053,0.257144159336004,1.34405422163876,-1.37970957677297,-0.611523928362271
