"","year","week","sm_z_scores","order","temp_z_scores","X","AverageWeeklyMeanT","sd","WeeklyMeanT"
"220",2011,28,0.249580128674919,429,0.161735991283726,893,16.3221116071429,3.18881117072731,16.8378571428571
"221",2011,29,0.123366429306331,430,-0.546919895793345,917,17.1289151785714,3.29779457313289,15.3252857142857
"222",2011,30,-0.57642151414137,431,-1.04155572815165,943,17.7828883928571,3.26204598250428,14.3852857142857
"223",2011,31,-0.585339451049825,432,-0.483386672946941,980,18.0801339285714,3.07501163363736,16.5937142857143
"224",2011,32,-0.473189924502997,433,-0.60022582175686,1007,17.7713482142857,3.28839032605605,15.7975714285714
"225",2011,35,-0.557694194117851,436,-0.547349785163741,1104,14.8696160714286,3.1513701703533,13.1447142857143
"226",2011,36,-0.0246650614019873,437,0.692650020269545,1139,13.9749464285714,2.75079654942165,15.8802857142857
"227",2012,18,0.10958465831961,438,1.1651675222542,554,10.3428080357143,3.29337605806647,14.1801428571429
"228",2012,19,0.520272074708555,439,0.199686073705659,595,11.5140133928571,3.52618212787187,12.2181428571429
"229",2012,20,0.52121454268872,440,-0.949201727153154,617,11.6772723214286,3.33707571857719,8.50971428571428
"230",2012,21,0.174714190100906,441,1.36842849083065,669,12.9821517857143,3.36078289968734,17.5811428571429
"231",2012,22,-0.165675035324307,442,0.0559838805083835,678,13.59275,3.54374965331655,13.7911428571429
"232",2012,23,0.0753097104404385,443,-0.776731864836479,707,14.6589910714286,3.749213931354,11.7468571428571
"233",2012,24,0.0917699355078103,444,-0.436145934829732,747,14.4680580357143,2.89136716637427,13.207
"234",2012,25,0.66105132231112,445,0.123644079139761,783,15.2339508928571,3.38337932830359,15.6522857142857
"235",2012,26,1.15990171391416,446,0.122692514462562,818,16.0508928571429,3.12715550014725,16.4345714285714
"236",2012,27,1.36903295294737,447,0.16119740565398,856,16.6393482142857,3.20597369889768,17.1561428571429
"237",2012,28,1.06035507285948,448,-0.434410941921609,878,16.3221116071429,3.18881117072731,14.9368571428571
"238",2012,29,1.37362338567366,449,-0.867913640278091,919,17.1289151785714,3.29779457313289,14.2667142857143
"239",2012,30,0.998594494722393,450,0.347975354495608,951,17.7828883928571,3.26204598250428,18.918
"240",2012,31,0.879796049349011,451,-0.306523230575575,961,18.0801339285714,3.07501163363736,17.1375714285714
"241",2012,32,0.854792695030998,452,-0.679856618862129,1001,17.7713482142857,3.28839032605605,15.5357142857143
"242",2012,33,0.569207591847604,453,0.169376100234545,1037,16.7994151785714,2.70580741030325,17.2577142857143
"243",2012,34,0.4327643247537,454,0.950688380799612,1083,16.6523035714286,3.04874948807924,19.5507142857143
"244",2012,35,0.431201599825119,455,0.138972996972203,1105,14.8696160714286,3.1513701703533,15.3075714285714
"245",2012,36,0.365678087358483,456,0.183550729839274,1133,13.9749464285714,2.75079654942165,14.4798571428571
"246",2013,18,1.01885294194889,457,0.0841231314790859,573,10.3428080357143,3.29337605806647,10.6198571428571
"247",2013,19,0.390490547426867,458,0.0475182590229466,600,11.5140133928571,3.52618212787187,11.6815714285714
"248",2013,20,0.640820853022544,459,0.244871953444439,619,11.6772723214286,3.33707571857719,12.4944285714286
"249",2013,21,1.37786777855044,460,-1.68931992022698,654,12.9821517857143,3.36078289968734,7.30471428571429
"250",2013,22,1.53873436427217,461,-0.836371963908069,691,13.59275,3.54374965331655,10.6288571428571
"251",2013,23,1.21722945611615,462,-0.0820338624659185,708,14.6589910714286,3.749213931354,14.3514285714286
"252",2013,25,0.601186742012309,464,1.02924753139478,781,15.2339508928571,3.38337932830359,18.7162857142857
"253",2013,26,0.628375384682377,465,-1.2989097782159,822,16.0508928571429,3.12715550014725,11.989
"254",2013,27,0.521638235799511,466,0.170153900126805,839,16.6393482142857,3.20597369889768,17.1848571428571
"255",2013,28,0.269968178035028,467,-0.220986128681171,883,16.3221116071429,3.18881117072731,15.6174285714286
"256",2013,29,0.0232075931497242,468,0.573655837314844,904,17.1289151785714,3.29779457313289,19.0207142857143
"257",2013,30,0.386029476063579,469,1.0492880576225,941,17.7828883928571,3.26204598250428,21.2057142857143
"258",2013,31,0.225540057697674,470,0.754936168242729,968,18.0801339285714,3.07501163363736,20.4015714285714
"259",2013,32,0.206504500155159,471,-0.200898878498933,1004,17.7713482142857,3.28839032605605,17.1107142857143
"260",2013,33,-0.210531942574088,472,-0.303258107945805,1050,16.7994151785714,2.70580741030325,15.9788571428571
"261",2013,34,-0.316106744067649,473,-0.252755855713085,1064,16.6523035714286,3.04874948807924,15.8817142857143
"262",2013,35,-0.396374867793469,474,0.0180732043726916,1115,14.8696160714286,3.1513701703533,14.9265714285714
"263",2013,36,-0.44336393022075,475,1.18227443220229,1146,13.9749464285714,2.75079654942165,17.2271428571429
