doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms,SWC_1,SWC_1_unc,SWC_2,SWC_2_unc,SWC_3,SWC_3_unc
77,2.18,6.81571428571429,4.29678571428571,378.362672619048,4.75309157142857,0.101939880952381,4.53042328042328E-05,3.27791071428571,45.1575238095238,4.51575238095238,44.7858928571429,4.47890786994044,46.6931845238095,4.66931845238095
84,-1.65571428571429,4.99142857142857,1.41035714285714,378.818592261905,5.70487577142857,0.0848065476190476,6.38657407407407E-05,3.43363095238095,45.5711964285714,4.55711964285714,45.1403571428571,4.51435179700769,47.49625,4.749625
91,0.465714285714286,6.26285714285714,3.24758928571429,375.688244047619,8.96929122857143,0.205184523809524,7.27513227513228E-06,2.64323214285714,45.41975,4.541975,44.5727380952381,4.45759391716725,46.7146726190476,4.67146726190476
98,5.81,11.9785714285714,8.79857142857143,373.601389880952,11.7583230857143,0.400266666666667,1.43849206349206E-05,3.25725595238095,45.088744047619,4.5088744047619,43.935744047619,4.39389915308471,46.5816666666667,4.65816666666667
105,0.271428571428572,5.94571428571429,2.97389880952381,372.231666666667,12.0790154571429,0.17450744047619,1.85185185185185E-05,3.14764880952381,45.0317916666667,4.50317916666667,45.2471428571429,4.52502962251591,46.5702380952381,4.65702380952381
112,0.292857142857143,5.04571428571429,2.46116071428571,369.501092261905,9.20848577142857,0.164270535714286,1.19047619047619E-05,3.12709226190476,45.5645535714286,4.55645535714286,47.2703273809524,4.72733457926597,46.6396726190476,4.66396726190476
119,5.84428571428571,11.76,8.69464285714286,369.529044642857,12.5209195714286,0.327762797619048,1.5707671957672E-05,2.86790476190476,45.2314196428571,4.52314196428572,47.1386011904762,4.71416280364257,46.610119047619,4.6610119047619
126,8.32142857142857,16.1214285714286,12.2039285714286,368.161666666667,15.8452539428571,0.424247619047619,2.79431216931217E-05,3.27984821428571,44.43925,4.443925,46.7528869047619,4.67559387207595,46.5529464285714,4.65529464285714
133,8.47714285714286,16.1957142857143,12.6133035714286,365.796223214286,21.9274482857143,0.559747619047619,9.92063492063492E-07,2.72220833333333,44.5132738095238,4.45132738095238,46.6516369047619,4.66546953438097,46.5261011904762,4.65261011904762
140,9.60285714285714,16.2628571428571,12.4618452380952,369.559910714286,17.9208244285714,0.490966071428571,1.42195767195767E-05,3.19353273809524,42.680244047619,4.26802440476191,45.0869047619048,4.50900693361524,46.3312202380952,4.63312202380952
147,10.4357142857143,18.3628571428571,14.5883630952381,363.739633928571,24.8673844285714,0.81585,0,2.50522619047619,40.8586577380952,4.08586577380952,41.2572619047619,4.12607202022465,46.1969047619048,4.61969047619048
154,8.71285714285714,15.4942857142857,12.2323511904762,370.916636904762,15.9942502285714,0.415322619047619,9.92063492063492E-07,3.9728005952381,38.9403898809524,3.89403898809524,34.044255952381,3.40484468820706,45.5556845238095,4.55556845238095
161,7.61285714285714,13.3242857142857,10.3178571428571,368.258017857143,13.7632790571429,0.289785119047619,1.53769841269841E-05,2.91235119047619,43.5827678571429,4.35827678571429,40.6972023809524,4.07007082661488,46.1425297619048,4.61425297619048
168,9.97857142857143,17.24,13.5368452380952,361.455523809524,20.3216837142857,0.486006547619048,1.32275132275132E-06,2.5845625,42.8716607142857,4.28716607142857,40.1294345238095,4.01329900073577,46.2286904761905,4.62286904761905
175,9.44571428571428,15.4828571428571,12.3765476190476,361.924526785714,17.1162874285714,0.407074404761905,1.32275132275132E-06,3.09836904761905,43.0377232142857,4.30377232142857,41.2635119047619,4.12669696784776,46.2965773809524,4.62965773809524
182,13.6042857142857,22.1185714285714,17.9933333333333,361.506657738095,22.4431930285714,0.703486607142857,3.63756613756614E-06,2.48339880952381,38.1573333333333,3.81573333333333,30.529255952381,3.05339293366567,45.3467261904762,4.53467261904762
189,13.6914285714286,21.2542857142857,17.5838988095238,364.325592261905,22.6641003428571,0.674695238095238,0,3.21760119047619,34.6110565476191,3.46110565476191,23.8091071428571,2.38150993000241,43.593005952381,4.3593005952381
196,11.5114285714286,18.1871428571429,14.7332738095238,362.821851190476,16.3767396857143,0.426585119047619,4.44775132275132E-05,3.33547321428571,40.4081339285714,4.04081339285714,26.744880952381,2.67502154923467,42.186994047619,4.2186994047619
203,11.3185714285714,17.7885714285714,14.4706547619048,357.756764880952,19.8549303428571,0.466729761904762,3.40608465608466E-05,2.61784821428571,42.2794523809524,4.22794523809524,33.2255952380952,3.32298894168442,45.6324107142857,4.56324107142857
