doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms
308,2.28571428571429,7.76428571428571,5.1897619047619,381.722744047619,2.836746,0.0902333333333333,6.86177248677249E-05,2.79522916666667
315,-0.298571428571429,3.29857142857143,1.49285714285714,377.413586309524,3.88066602857143,0.0837154761904762,5.80357142857143E-05,3.50728869047619
322,5.5,8.89857142857143,6.8664880952381,383.815416666667,3.06134768571429,0.152382142857143,6.77910052910053E-06,2.90775297619048
329,2.03714285714286,6.51714285714286,4.22348214285714,386.269708333333,2.15376685714286,0.0887943452380952,7.60582010582011E-06,2.26472619047619
336,4.33142857142857,6.64428571428571,5.39339285714286,386.770104166667,1.39918062857143,0.0939264880952381,6.4484126984127E-05,2.40150892857143
343,-4.72,-1.83857142857143,-3.30806547619048,393.655086309524,0.955267714285714,0.0254419642857143,5.95238095238095E-06,3.66245833333333
350,-8.96428571428572,-4.41,-6.98953869047619,392.3611875,1.31004308571429,0.0248982142857143,5.45634920634921E-06,2.79002083333333
357,-2.86571428571429,-0.0142857142857143,-1.55532738095238,390.945357142857,1.40575345714286,0.0268532738095238,4.71230158730159E-05,2.55059821428571
365,-0.275,4.445,2.09528645833333,376.0327578125,1.154673,0.0653276041666667,7.43634259259259E-05,3.33525520833333
7,-4.80857142857143,1.06428571428571,-2.06681547619048,386.008532738095,1.61800534285714,0.0558818452380952,3.67063492063492E-05,3.53688392857143
14,-9.73142857142857,-5.83,-7.64580357142857,378.020842261905,1.65033205714286,0.0271002976190476,9.58994708994709E-06,3.84188095238095
21,0.195714285714286,3.26142857142857,1.66264880952381,381.046806547619,2.76513197142857,0.109807738095238,8.26719576719577E-07,4.39432738095238
28,-0.314285714285714,3.86714285714286,1.66202380952381,384.486505952381,2.41876748571429,0.0682815476190476,1.7526455026455E-05,4.33060119047619
35,-4.65571428571429,-1.56714285714286,-3.14904761904762,391.173735119048,2.97958525714286,0.0313755952380952,3.38955026455026E-05,3.65230357142857
42,-4.91285714285714,-2.22714285714286,-3.60645833333333,394.397666666667,2.92587891428571,0.02665,1.24007936507937E-05,2.5133125
49,-9.06714285714286,-5.51142857142857,-7.15544642857143,388.08999702381,4.73360297142857,0.0521178571428571,4.96031746031746E-07,3.03664880952381
56,-5.34285714285714,-0.561428571428571,-2.69747023809524,386.165532738095,6.89751668571429,0.129424702380952,0,2.43273214285714
63,2.43857142857143,7.35,4.77232142857143,394.549285714286,6.26180657142857,0.272352380952381,1.71957671957672E-05,2.52669345238095
70,3.03857142857143,8.42,5.56127976190476,385.064410714286,6.52874785714286,0.225754761904762,1.7526455026455E-05,3.50037797619048
77,-0.381428571428571,4.86571428571429,2.0578869047619,383.393273809524,10.7144429142857,0.175190773809524,1.42195767195767E-05,2.84062797619048
84,0.82,9.10428571428571,4.74309523809524,382.214806547619,15.4885497428571,0.498727083333333,0,2.91380654761905
91,4.68714285714286,12.8914285714286,8.7428869047619,383.677324404762,15.6605091428571,0.426415476190476,6.4484126984127E-06,2.4468005952381
98,-1.64285714285714,3.29571428571429,1.124375,381.655336309524,13.3801135714286,0.235521130952381,7.60582010582011E-06,3.47069047619048
105,0.467142857142857,9.61571428571429,5.03482142857143,383.811398809524,19.1639046857143,0.491954761904762,0,2.61864285714286
112,4.68,13.7228571428571,9.02193452380952,383.633541666667,17.652294,0.520742857142857,1.80224867724868E-05,3.25021130952381
119,9.48428571428571,16.6914285714286,13.2312202380952,378.505839285714,15.7967421428571,0.720983630952381,1.09126984126984E-05,3.09242261904762
126,9.79714285714286,18.7028571428571,14.2391666666667,374.818214285714,18.145584,0.810634226190476,1.02513227513228E-05,3.35813392857143
133,9.04428571428571,16.2557142857143,12.6831845238095,376.996636904762,16.4917314,0.395756845238095,5.02645502645503E-05,2.27769345238095
140,6.74857142857143,12.7728571428571,9.61622023809524,376.040797619048,16.1639835428571,0.328458035714286,4.13359788359788E-05,2.91179166666667
147,10.3114285714286,16.1785714285714,13.3269642857143,369.250744047619,15.0703423714286,0.462100892857143,7.77116402116402E-06,3.1021875
154,14.7228571428571,22.2285714285714,18.7286607142857,363.741157738095,23.7444114857143,0.891013095238095,1.00859788359788E-05,2.05639285714286
161,15.5257142857143,24.7371428571429,20.1401785714286,370.107023809524,24.7573362857143,0.936969642857143,4.91071428571429E-05,2.1918869047619
168,14.0442857142857,21.2671428571429,17.5564583333333,369.895773809524,24.6299263714286,0.717358333333333,3.30687830687831E-07,2.15248511904762
175,12.6,20.1242857142857,16.3217261904762,368.433217261905,21.2787442285714,0.634035416666667,2.08333333333333E-05,3.40280952380952
