"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"51",357,0.194284419723704,0.209711751201042,0.528044014947475,0.571961105373019,1.9665742724772,2.12532768320895,357,2015,0.353828477,1.416483646,NA,-9999,3.639625118,1,2015-12-23
"52",364,0.3423051924627,0.369319460823917,0.495304560355664,0.53770962181757,1.90175893063566,2.04020790672572,365,2015,0.282505222,1.521386042,NA,-9999,1.975911189,1.000033007,2015-12-30
"53",371,0.162135216077994,0.175728833114494,0.466665057041342,0.508211518606613,1.58258461501656,1.70461215681085,7,2016,0.084421675,1.47376292,NA,-9999,0.330398904,1.000033007,2016-01-06
"54",378,0.306507401563695,0.333649954065494,0.447378808324842,0.48756809975612,1.76954318755245,1.89837567290401,14,2016,NA,2.116306013,NA,-9999,NA,1.147121965,2016-01-13
"55",385,0.305132521600917,0.331113532489083,0.434410758447254,0.473055549322562,1.55868625219959,1.67629783802421,21,2016,NA,2.116306013,NA,-9999,NA,1.147121965,2016-01-20
"56",392,0.347313481468594,0.378173866977616,0.424633773851544,0.463330226875934,1.7969528498148,1.92903402871375,28,2016,NA,2.116306013,NA,-9999,NA,1.147121965,2016-01-27
"57",399,0.259041546766814,0.281915796036056,0.417853844556682,0.455562184606161,1.78919779469481,1.92455701369898,35,2016,NA,2.116306013,0.3,0.25,NA,1.147121965,2016-02-03
"58",406,0.363255245671809,0.39376120730152,0.4117873631468,0.449721595673669,1.83794745612852,1.97236824872183,42,2016,NA,2.116306013,0.46,0.25,NA,1.147121965,2016-02-10
"59",413,0.368238483856137,0.402310993305048,0.408361678974216,0.446857056861699,1.68615889659233,1.81679946614902,49,2016,0.120081312,1.512009082,0.33,0.25,0.19840511,1.001576479,2016-02-17
"60",420,0.470149868460159,0.510930346062342,0.406776681096498,0.446893489337556,1.79516570764524,1.92869154072224,56,2016,0.436510691,1.519670563,NA,-9999,1.996240279,1,2016-02-24
"61",427,0.613375030205948,0.671392551910262,0.40752615117822,0.447642225468267,1.7621563853847,1.88866629541469,63,2016,0.501912112,1.506531778,NA,-9999,0.968178795,1.000044319,2016-03-02
"62",434,0.674348863619745,0.734615334544457,0.410269062767832,0.450565984741517,1.82794940802982,1.95596955398795,70,2016,0.492499099,1.515888662,0.47,0.25,0.350781904,1.000212741,2016-03-09
"63",441,0.654064319855666,0.714700141561538,0.415025228243509,0.456092128618549,1.81169100649787,1.93957022943623,77,2016,NA,2.116306013,0.51,0.25,0.717951239,1.000124063,2016-03-16
"64",448,0.697876707313336,0.76270098419694,0.421082957431712,0.463169752936752,1.90416933628648,2.03297996465969,84,2016,NA,2.116306013,0.64,0.25,0.846267387,1.000098374,2016-03-23
