"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"52",2015-12-30,2015,364,365,0.0232700146550667,0.029089247982876,0.0278966235199067,0.0347910201165687,-2.16351935978859,0.282505222,1.521386042,NA,-9999,1.818464905,0.59634885
"53",2016-01-06,2016,371,7,0.00784097232441811,0.00986199155265076,0.0203136379648086,0.0255554650095043,-1.72997169058198,0.084421675,1.47376292,NA,-9999,0.435684257,0.588688341
"54",2016-01-13,2016,378,14,0.0134273457167481,0.0170720763946914,0.0158916755370674,0.0201728360731662,-1.96639544489288,NA,2.116306013,NA,-9999,NA,0.911057024
"55",2016-01-20,2016,385,21,0.0133836749380157,0.0172326424551355,0.0129986405935039,0.0167922277483198,-1.62389124234589,NA,2.116306013,NA,-9999,NA,0.911057024
"56",2016-01-27,2016,392,28,0.011599065780888,0.0151816050364214,0.0110650084640028,0.0145202602754937,-1.9946582943701,NA,2.116306013,NA,-9999,NA,0.911057024
"57",2016-02-03,2016,399,35,0.00711100452532641,0.00944462783229517,0.00971106218953467,0.0129151517799581,-2.02364995062396,NA,2.116306013,0.3,0.25,NA,0.911057024
"58",2016-02-10,2016,406,42,0.00949701886537152,0.0127419117072804,0.00876429197337396,0.0117396214633987,-2.05645040221228,NA,2.116306013,0.46,0.25,NA,0.911057024
"59",2016-02-17,2016,413,49,0.00990654335631833,0.0134092450437048,0.0081538404966749,0.0109747061577774,-1.81073079221077,0.120081312,1.512009082,0.33,0.25,0.489861321,0.682883025
"60",2016-02-24,2016,420,56,0.0122094982369793,0.0164200653735801,0.00785351470518069,0.0105686797768726,-1.94008454572288,0.436510691,1.519670563,NA,-9999,1.841326422,0.58
"61",2016-03-02,2016,427,63,0.0187230849881668,0.0249192046225116,0.00805797431926438,0.010737644947989,-1.81778185772077,0.501912112,1.506531778,NA,-9999,1.172961402,0.601849895
"62",2016-03-09,2016,434,70,0.0227522566060346,0.0296545837035261,0.00918568264680865,0.0119875144224695,-1.89481656889277,0.492499099,1.515888662,0.47,0.25,0.718253318,0.678486389
"63",2016-03-16,2016,441,77,0.0287974810666718,0.0347255387679412,0.0124821133230343,0.0150909686165469,-1.87406126296796,NA,2.116306013,0.51,0.25,1.682397413,0.639287676
"64",2016-03-23,2016,448,84,0.0472537349209605,0.0563103638204401,0.0209624123314213,0.0247931962771498,-1.99215994420961,NA,2.116306013,0.64,0.25,1.460050221,0.627471602
"65",2016-03-30,2016,455,91,0.0936328336820109,0.109964299210242,0.0422657886447874,0.0491156531896977,-2.06750352840987,2.571360929,1.506531778,0.82,0.25,0.959624289,0.601849895
"66",2016-04-06,2016,462,98,0.358438045325696,0.410758146524317,0.0922811186015505,0.105142857143818,-2.08446271834048,0.970638163,1.515888662,0.4,0.25,1.003766018,0.698989232
"67",2016-04-13,2016,469,105,0.796839699645564,0.877050984496176,0.204110089781579,0.225051505971793,-1.65448002966155,1.43011427,1.431400417,1.06,0.34,2.635858955,0.696029708
"68",2016-04-20,2016,476,112,1.62084538705418,1.72176253583639,0.427813351707698,0.45391057049376,-0.989253682861419,1.953270529,1.366425852,0.58,0.25,1.932807597,0.622370774
"69",2016-04-27,2016,483,119,2.73229967041131,2.81792024959745,0.817503420944062,0.849420036506563,0.151951900508964,2.300402258,1.357896839,1.39,0.29,0.911796182,0.611954787
"70",2016-05-04,2016,490,126,5.66182925678272,5.765876175879,1.38962018536789,1.42205627994449,2.10702187486719,3.673625452,1.363358847,1.5,0.31,0.433636108,0.640004734
"71",2016-05-11,2016,497,133,8.12047674720051,8.23534711703247,2.08173651877758,2.12470638721833,3.60710201345868,7.168868126,1.458159378,3.1,0.78,-0.709355692,0.633130352
"72",2016-05-18,2016,504,140,8.55729745780233,8.66368904711782,2.74095288549511,2.7967685593271,4.34887880806886,8.299653301,1.176040794,4.83,1.01,-3.175795175,0.58565463
"73",2016-05-25,2016,511,147,9.71127175662367,9.78930978455597,3.25359129168258,3.3136894843491,4.95899964998135,9.310989856,1.386640976,NA,-9999,-3.477976686,0.663604536
"74",2016-06-01,2016,518,154,10.017610298568,10.118048476718,3.6278077165549,3.68991097588816,5.07137899451253,10.79049333,1.477699834,NA,-9999,-7.387630999,0.719007263
"75",2016-06-08,2016,525,161,12.8298918946906,12.9020281894934,3.91879644682555,3.98149653590702,7.09163008192138,13.35207006,1.356818628,4.5,0.91,-7.906629497,0.670914304
"76",2016-06-15,2016,532,168,11.9436822618394,12.0157618116537,4.1938678467526,4.25916981828169,6.64248947988465,12.02566978,1.405382531,5.8,1.39,-5.490188875,0.654857244
