"","day","mod_gpp","mod_gpp_unc95","mod_gpp_unc50","doy","year","obs_gpp","obs_gpp_unc","date"
"160",1120,0.00784492621011673,0.0102485920890351,0.00784492621011673,28,2003,0.108673874,1.585680598,2003-01-24
"161",1127,0.00858946949936845,0.0114049887263353,0.00858946949936845,35,2003,0.122026782,1.390704587,2003-01-31
"162",1134,0.00787796249747287,0.0105437038818964,0.00787796249747287,42,2003,0.109689628,1.50305369,2003-02-07
"163",1141,0.00911655243508759,0.0123995697960652,0.00911655243508759,49,2003,0.11261141,1.504318668,2003-02-14
"164",1148,0.0131457471607767,0.0177937412265697,0.0131457471607767,56,2003,0.234573719,1.136872097,2003-02-21
"165",1155,0.0125634770412054,0.0167009645837985,0.0125634770412054,63,2003,0.178926655,1.464631526,2003-02-28
"166",1162,0.0150569511799392,0.0195562363408459,0.0150569511799392,70,2003,0.246125055,1.566066464,2003-03-07
"167",1169,0.0298387869447479,0.0358409402029829,0.0298387869447479,77,2003,0.205938553,1.554609959,2003-03-14
"168",1176,0.0674561314038112,0.0806685000201083,0.0674561314038112,84,2003,0.275752354,1.515888662,2003-03-21
"169",1183,0.149842098425045,0.173667560848603,0.149842098425045,91,2003,0.494832268,1.546327455,2003-03-28
"170",1190,0.257846835134502,0.294324346694924,0.257846835134502,98,2003,0.450868723,1.539093334,2003-04-04
"171",1197,0.785238679376834,0.861419051732275,0.785238679376834,105,2003,0.897306655,1.687509158,2003-04-11
"172",1204,1.59749222352245,1.69475267697649,1.59749222352245,112,2003,1.815948379,1.460258219,2003-04-18
"173",1211,2.48084237122577,2.57089866299291,2.48084237122577,119,2003,2.869937833,1.433332121,2003-04-25
"174",1218,4.03059918769138,4.12111781275133,4.03059918769138,126,2003,4.881356509,1.317298264,2003-05-02
"175",1225,6.43786170642412,6.51043787626501,6.43786170642412,133,2003,7.183907332,1.468939342,2003-05-09
"176",1232,7.75385411186137,7.84279214484547,7.75385411186137,140,2003,7.917893663,1.306931755,2003-05-16
"177",1239,8.5022719872223,8.58752593586586,8.5022719872223,147,2003,10.33567085,1.24999244,2003-05-23
"178",1246,10.4087618704262,10.4721373601505,10.4087618704262,154,2003,13.14086794,1.486271218,2003-05-30
"179",1253,11.3607083471422,11.4333960373276,11.3607083471422,161,2003,12.79242018,1.386594567,2003-06-06
"180",1260,13.2530822385028,13.3277591685113,13.2530822385028,168,2003,15.18242157,1.438801094,2003-06-13
"181",1267,13.5760019670895,13.6393412548602,13.5760019670895,175,2003,13.93566609,1.234113099,2003-06-20
"182",1274,14.1206494835949,14.1876794427849,14.1206494835949,182,2003,14.51498895,1.418318892,2003-06-27
"183",1281,11.6274999851604,11.6815733817667,11.6274999851604,189,2003,13.10571464,1.419111281,2003-07-04
"184",1288,14.8742002532448,14.9552975679043,14.8742002532448,196,2003,14.11211126,1.389234047,2003-07-11
"185",1295,12.8995411733932,12.9673220310332,12.8995411733932,203,2003,11.12238541,1.542399268,2003-07-18
